master_id,master_fileID,slave_id,slave_fileID,delta_days,track
S1B_IW_SLC__1SDV_20210108T102529_20210108T102556_025061_02FBAA_61C4,S1B_IW_SLC__1SDV_20210108T102529_20210108T102556_025061_02FBAA_61C4-SLC,S1B_IW_SLC__1SDV_20210120T102554_20210120T102621_025236_030144_F377,S1B_IW_SLC__1SDV_20210120T102554_20210120T102621_025236_030144_F377-SLC,12,10
S1B_IW_SLC__1SDV_20210108T102554_20210108T102621_025061_02FBAA_DF1D,S1B_IW_SLC__1SDV_20210108T102554_20210108T102621_025061_02FBAA_DF1D-SLC,S1B_IW_SLC__1SDV_20210120T102554_20210120T102621_025236_030144_F377,S1B_IW_SLC__1SDV_20210120T102554_20210120T102621_025236_030144_F377-SLC,12,10
S1B_IW_SLC__1SDV_20210108T102619_20210108T102637_025061_02FBAA_8188,S1B_IW_SLC__1SDV_20210108T102619_20210108T102637_025061_02FBAA_8188-SLC,S1B_IW_SLC__1SDV_20210120T102619_20210120T102636_025236_030144_1F96,S1B_IW_SLC__1SDV_20210120T102619_20210120T102636_025236_030144_1F96-SLC,12,10
S1A_IW_SLC__1SDV_20210114T102621_20210114T102649_036132_043C74_8F70,S1A_IW_SLC__1SDV_20210114T102621_20210114T102649_036132_043C74_8F70-SLC,S1A_IW_SLC__1SDV_20210126T102621_20210126T102649_036307_044286_F8CA,S1A_IW_SLC__1SDV_20210126T102621_20210126T102649_036307_044286_F8CA-SLC,12,10
S1A_IW_SLC__1SDV_20210114T102647_20210114T102714_036132_043C74_EB9A,S1A_IW_SLC__1SDV_20210114T102647_20210114T102714_036132_043C74_EB9A-SLC,S1A_IW_SLC__1SDV_20210126T102647_20210126T102714_036307_044286_0A33,S1A_IW_SLC__1SDV_20210126T102647_20210126T102714_036307_044286_0A33-SLC,12,10
S1A_IW_SLC__1SDV_20210103T110726_20210103T110753_035972_0436D8_BD1A,S1A_IW_SLC__1SDV_20210103T110726_20210103T110753_035972_0436D8_BD1A-SLC,S1A_IW_SLC__1SDV_20210115T110750_20210115T110819_036147_043CFC_986A,S1A_IW_SLC__1SDV_20210115T110750_20210115T110819_036147_043CFC_986A-SLC,12,25
S1A_IW_SLC__1SDV_20210103T110751_20210103T110820_035972_0436D8_EF1E,S1A_IW_SLC__1SDV_20210103T110751_20210103T110820_035972_0436D8_EF1E-SLC,S1A_IW_SLC__1SDV_20210127T110725_20210127T110752_036322_044313_0488,S1A_IW_SLC__1SDV_20210127T110725_20210127T110752_036322_044313_0488-SLC,23,25
S1A_IW_SLC__1SDV_20210115T110725_20210115T110752_036147_043CFC_BEC3,S1A_IW_SLC__1SDV_20210115T110725_20210115T110752_036147_043CFC_BEC3-SLC,S1A_IW_SLC__1SDV_20210127T110725_20210127T110752_036322_044313_0488,S1A_IW_SLC__1SDV_20210127T110725_20210127T110752_036322_044313_0488-SLC,12,25
S1A_IW_SLC__1SDV_20210115T110750_20210115T110819_036147_043CFC_986A,S1A_IW_SLC__1SDV_20210115T110750_20210115T110819_036147_043CFC_986A-SLC,S1A_IW_SLC__1SDV_20210127T110750_20210127T110819_036322_044313_AA7A,S1A_IW_SLC__1SDV_20210127T110750_20210127T110819_036322_044313_AA7A-SLC,12,25
S1A_IW_SLC__1SDV_20210103T214904_20210103T214931_035979_04370E_ADA5,S1A_IW_SLC__1SDV_20210103T214904_20210103T214931_035979_04370E_ADA5-SLC,S1A_IW_SLC__1SDV_20210115T214904_20210115T214931_036154_043D32_A14A,S1A_IW_SLC__1SDV_20210115T214904_20210115T214931_036154_043D32_A14A-SLC,12,32
S1A_IW_SLC__1SDV_20210103T214929_20210103T214956_035979_04370E_95C0,S1A_IW_SLC__1SDV_20210103T214929_20210103T214956_035979_04370E_95C0-SLC,S1A_IW_SLC__1SDV_20210115T214953_20210115T215020_036154_043D32_7992,S1A_IW_SLC__1SDV_20210115T214953_20210115T215020_036154_043D32_7992-SLC,12,32
