master_id,master_fileID,slave_id,slave_fileID,delta_days,track,perp_baseline,temp_baseline
S1A_IW_SLC__1SDV_20230524T214335_20230524T214402_048681_05DAE5_BE11,S1A_IW_SLC__1SDV_20230524T214335_20230524T214402_048681_05DAE5_BE11-SLC,S1A_IW_SLC__1SDV_20230605T214336_20230605T214403_048856_05E01C_F022,S1A_IW_SLC__1SDV_20230605T214336_20230605T214403_048856_05E01C_F022-SLC,12,134,36.670707728721226,12
S1A_IW_SLC__1SDV_20230524T214400_20230524T214428_048681_05DAE5_CBA5,S1A_IW_SLC__1SDV_20230524T214400_20230524T214428_048681_05DAE5_CBA5-SLC,S1A_IW_SLC__1SDV_20230605T214401_20230605T214429_048856_05E01C_B4FC,S1A_IW_SLC__1SDV_20230605T214401_20230605T214429_048856_05E01C_B4FC-SLC,12,134,47.76309782639168,12
S1A_IW_SLC__1SDV_20230605T214246_20230605T214313_048856_05E01C_7927,S1A_IW_SLC__1SDV_20230605T214246_20230605T214313_048856_05E01C_7927-SLC,S1A_IW_SLC__1SDV_20230617T214247_20230617T214314_049031_05E573_19BD,S1A_IW_SLC__1SDV_20230617T214247_20230617T214314_049031_05E573_19BD-SLC,12,134,144.77711365503004,12
S1A_IW_SLC__1SDV_20230605T214311_20230605T214338_048856_05E01C_EEEC,S1A_IW_SLC__1SDV_20230605T214311_20230605T214338_048856_05E01C_EEEC-SLC,S1A_IW_SLC__1SDV_20230617T214312_20230617T214339_049031_05E573_E3DC,S1A_IW_SLC__1SDV_20230617T214312_20230617T214339_049031_05E573_E3DC-SLC,12,134,144.0797889913552,12
S1A_IW_SLC__1SDV_20230605T214336_20230605T214403_048856_05E01C_F022,S1A_IW_SLC__1SDV_20230605T214336_20230605T214403_048856_05E01C_F022-SLC,S1A_IW_SLC__1SDV_20230617T214337_20230617T214404_049031_05E573_6615,S1A_IW_SLC__1SDV_20230617T214337_20230617T214404_049031_05E573_6615-SLC,12,134,134.30926438808703,12
S1A_IW_SLC__1SDV_20230605T214401_20230605T214429_048856_05E01C_B4FC,S1A_IW_SLC__1SDV_20230605T214401_20230605T214429_048856_05E01C_B4FC-SLC,S1A_IW_SLC__1SDV_20230617T214402_20230617T214430_049031_05E573_B299,S1A_IW_SLC__1SDV_20230617T214402_20230617T214430_049031_05E573_B299-SLC,12,134,142.0828925956051,12
S1A_IW_SLC__1SDV_20230605T214426_20230605T214453_048856_05E01C_14DA,S1A_IW_SLC__1SDV_20230605T214426_20230605T214453_048856_05E01C_14DA-SLC,S1A_IW_SLC__1SDV_20230617T214427_20230617T214454_049031_05E573_7874,S1A_IW_SLC__1SDV_20230617T214427_20230617T214454_049031_05E573_7874-SLC,12,134,140.713844941404,12
S1A_IW_SLC__1SDV_20230617T214402_20230617T214430_049031_05E573_B299,S1A_IW_SLC__1SDV_20230617T214402_20230617T214430_049031_05E573_B299-SLC,S1A_IW_SLC__1SDV_20230629T214402_20230629T214430_049206_05EABF_7A74,S1A_IW_SLC__1SDV_20230629T214402_20230629T214430_049206_05EABF_7A74-SLC,12,134,197.29828616568005,12
S1A_IW_SLC__1SDV_20230617T214427_20230617T214454_049031_05E573_7874,S1A_IW_SLC__1SDV_20230617T214427_20230617T214454_049031_05E573_7874-SLC,S1A_IW_SLC__1SDV_20230629T214428_20230629T214455_049206_05EABF_CC7C,S1A_IW_SLC__1SDV_20230629T214428_20230629T214455_049206_05EABF_CC7C-SLC,12,134,194.18821327098956,12
S1A_IW_SLC__1SDV_20230816T214315_20230816T214342_049906_0600CA_4D7C,S1A_IW_SLC__1SDV_20230816T214315_20230816T214342_049906_0600CA_4D7C-SLC,S1A_IW_SLC__1SDV_20230828T214316_20230828T214343_050081_0606C7_4F71,S1A_IW_SLC__1SDV_20230828T214316_20230828T214343_050081_0606C7_4F71-SLC,12,134,144.0031776794193,12
S1A_IW_SLC__1SDV_20230816T214405_20230816T214433_049906_0600CA_ED43,S1A_IW_SLC__1SDV_20230816T214405_20230816T214433_049906_0600CA_ED43-SLC,S1A_IW_SLC__1SDV_20230828T214406_20230828T214434_050081_0606C7_685A,S1A_IW_SLC__1SDV_20230828T214406_20230828T214434_050081_0606C7_685A-SLC,12,134,144.8550070059353,12
S1A_IW_SLC__1SDV_20230828T214251_20230828T214318_050081_0606C7_DFED,S1A_IW_SLC__1SDV_20230828T214251_20230828T214318_050081_0606C7_DFED-SLC,S1A_IW_SLC__1SDV_20230909T214252_20230909T214319_050256_060CB9_BFEF,S1A_IW_SLC__1SDV_20230909T214252_20230909T214319_050256_060CB9_BFEF-SLC,12,134,80.19293083256385,12
S1A_IW_SLC__1SDV_20230828T214316_20230828T214343_050081_0606C7_4F71,S1A_IW_SLC__1SDV_20230828T214316_20230828T214343_050081_0606C7_4F71-SLC,S1A_IW_SLC__1SDV_20230909T214317_20230909T214344_050256_060CB9_189E,S1A_IW_SLC__1SDV_20230909T214317_20230909T214344_050256_060CB9_189E-SLC,12,134,80.01823755126117,12
S1A_IW_SLC__1SDV_20230828T214406_20230828T214434_050081_0606C7_685A,S1A_IW_SLC__1SDV_20230828T214406_20230828T214434_050081_0606C7_685A-SLC,S1A_IW_SLC__1SDV_20230909T214407_20230909T214434_050256_060CB9_AB1C,S1A_IW_SLC__1SDV_20230909T214407_20230909T214434_050256_060CB9_AB1C-SLC,12,134,79.72920152266862,12
