master_id,master_fileID,slave_id,slave_fileID,delta_days,track
S1A_IW_SLC__1SDV_20221212T215147_20221212T215214_046304_058BA9_B3E7,S1A_IW_SLC__1SDV_20221212T215147_20221212T215214_046304_058BA9_B3E7-SLC,S1A_IW_SLC__1SDV_20221224T215211_20221224T215238_046479_0591A5_7AC9,S1A_IW_SLC__1SDV_20221224T215211_20221224T215238_046479_0591A5_7AC9-SLC,12,32
S1A_IW_SLC__1SDV_20221212T215211_20221212T215238_046304_058BA9_555B,S1A_IW_SLC__1SDV_20221212T215211_20221212T215238_046304_058BA9_555B-SLC,S1A_IW_SLC__1SDV_20221224T215211_20221224T215238_046479_0591A5_7AC9,S1A_IW_SLC__1SDV_20221224T215211_20221224T215238_046479_0591A5_7AC9-SLC,12,32
S1A_IW_SLC__1SDV_20221212T215236_20221212T215303_046304_058BA9_282F,S1A_IW_SLC__1SDV_20221212T215236_20221212T215303_046304_058BA9_282F-SLC,S1A_IW_SLC__1SDV_20221224T215236_20221224T215303_046479_0591A5_88E2,S1A_IW_SLC__1SDV_20221224T215236_20221224T215303_046479_0591A5_88E2-SLC,12,32
S1A_IW_SLC__1SDV_20221224T214916_20221224T214943_046479_0591A5_EC03,S1A_IW_SLC__1SDV_20221224T214916_20221224T214943_046479_0591A5_EC03-SLC,S1A_IW_SLC__1SDV_20230105T214940_20230105T215007_046654_05978B_D0D1,S1A_IW_SLC__1SDV_20230105T214940_20230105T215007_046654_05978B_D0D1-SLC,12,32
S1A_IW_SLC__1SDV_20221224T214941_20221224T215008_046479_0591A5_67C0,S1A_IW_SLC__1SDV_20221224T214941_20221224T215008_046479_0591A5_67C0-SLC,S1A_IW_SLC__1SDV_20230105T215005_20230105T215032_046654_05978B_80BF,S1A_IW_SLC__1SDV_20230105T215005_20230105T215032_046654_05978B_80BF-SLC,12,32
S1A_IW_SLC__1SDV_20221224T215006_20221224T215033_046479_0591A5_D9D9,S1A_IW_SLC__1SDV_20221224T215006_20221224T215033_046479_0591A5_D9D9-SLC,S1A_IW_SLC__1SDV_20230105T215030_20230105T215057_046654_05978B_35F9,S1A_IW_SLC__1SDV_20230105T215030_20230105T215057_046654_05978B_35F9-SLC,12,32
S1A_IW_SLC__1SDV_20221224T215031_20221224T215057_046479_0591A5_8AAB,S1A_IW_SLC__1SDV_20221224T215031_20221224T215057_046479_0591A5_8AAB-SLC,S1A_IW_SLC__1SDV_20230105T215055_20230105T215123_046654_05978B_DF0E,S1A_IW_SLC__1SDV_20230105T215055_20230105T215123_046654_05978B_DF0E-SLC,12,32
S1A_IW_SLC__1SDV_20221224T215055_20221224T215123_046479_0591A5_A6F1,S1A_IW_SLC__1SDV_20221224T215055_20221224T215123_046479_0591A5_A6F1-SLC,S1A_IW_SLC__1SDV_20230105T215055_20230105T215123_046654_05978B_DF0E,S1A_IW_SLC__1SDV_20230105T215055_20230105T215123_046654_05978B_DF0E-SLC,12,32
S1A_IW_SLC__1SDV_20221224T215121_20221224T215148_046479_0591A5_5BF3,S1A_IW_SLC__1SDV_20221224T215121_20221224T215148_046479_0591A5_5BF3-SLC,S1A_IW_SLC__1SDV_20230105T215145_20230105T215212_046654_05978B_C229,S1A_IW_SLC__1SDV_20230105T215145_20230105T215212_046654_05978B_C229-SLC,12,32
S1A_IW_SLC__1SDV_20221224T215146_20221224T215213_046479_0591A5_B6CC,S1A_IW_SLC__1SDV_20221224T215146_20221224T215213_046479_0591A5_B6CC-SLC,S1A_IW_SLC__1SDV_20230105T215210_20230105T215237_046654_05978B_CE2D,S1A_IW_SLC__1SDV_20230105T215210_20230105T215237_046654_05978B_CE2D-SLC,12,32
S1A_IW_SLC__1SDV_20221224T215211_20221224T215238_046479_0591A5_7AC9,S1A_IW_SLC__1SDV_20221224T215211_20221224T215238_046479_0591A5_7AC9-SLC,S1A_IW_SLC__1SDV_20230105T215235_20230105T215302_046654_05978B_35A0,S1A_IW_SLC__1SDV_20230105T215235_20230105T215302_046654_05978B_35A0-SLC,12,32
S1A_IW_SLC__1SDV_20221224T215236_20221224T215303_046479_0591A5_88E2,S1A_IW_SLC__1SDV_20221224T215236_20221224T215303_046479_0591A5_88E2-SLC,S1A_IW_SLC__1SDV_20230117T214914_20230117T214941_046829_059D74_C740,S1A_IW_SLC__1SDV_20230117T214914_20230117T214941_046829_059D74_C740-SLC,23,32
S1A_IW_SLC__1SDV_20230105T214915_20230105T214942_046654_05978B_E34E,S1A_IW_SLC__1SDV_20230105T214915_20230105T214942_046654_05978B_E34E-SLC,S1A_IW_SLC__1SDV_20230117T214939_20230117T215006_046829_059D74_1A63,S1A_IW_SLC__1SDV_20230117T214939_20230117T215006_046829_059D74_1A63-SLC,12,32
S1A_IW_SLC__1SDV_20230105T214940_20230105T215007_046654_05978B_D0D1,S1A_IW_SLC__1SDV_20230105T214940_20230105T215007_046654_05978B_D0D1-SLC,S1A_IW_SLC__1SDV_20230117T215004_20230117T215031_046829_059D74_FFF8,S1A_IW_SLC__1SDV_20230117T215004_20230117T215031_046829_059D74_FFF8-SLC,12,32
S1A_IW_SLC__1SDV_20230105T215005_20230105T215032_046654_05978B_80BF,S1A_IW_SLC__1SDV_20230105T215005_20230105T215032_046654_05978B_80BF-SLC,S1A_IW_SLC__1SDV_20230117T215029_20230117T215056_046829_059D74_EB3F,S1A_IW_SLC__1SDV_20230117T215029_20230117T215056_046829_059D74_EB3F-SLC,12,32
