master_id,master_fileID,slave_id,slave_fileID,delta_days,track,perp_baseline,temp_baseline
S1A_IW_SLC__1SDV_20210108T215934_20210108T220001_036052_04399C_6E8E,S1A_IW_SLC__1SDV_20210108T215934_20210108T220001_036052_04399C_6E8E-SLC,S1A_IW_SLC__1SDV_20210120T215934_20210120T220001_036227_043FC4_A43D,S1A_IW_SLC__1SDV_20210120T215934_20210120T220001_036227_043FC4_A43D-SLC,12,105,20.596928647217513,12
S1A_IW_SLC__1SDV_20210108T215959_20210108T220026_036052_04399C_E78B,S1A_IW_SLC__1SDV_20210108T215959_20210108T220026_036052_04399C_E78B-SLC,S1A_IW_SLC__1SDV_20210120T215959_20210120T220026_036227_043FC4_7CED,S1A_IW_SLC__1SDV_20210120T215959_20210120T220026_036227_043FC4_7CED-SLC,12,105,17.50697539962017,12
S1B_IW_SLC__1SDV_20210103T101812_20210103T101839_024988_02F95E_0BBE,S1B_IW_SLC__1SDV_20210103T101812_20210103T101839_024988_02F95E_0BBE-SLC,S1B_IW_SLC__1SDV_20210115T101812_20210115T101839_025163_02FEFF_BBC1,S1B_IW_SLC__1SDV_20210115T101812_20210115T101839_025163_02FEFF_BBC1-SLC,12,112,31.759048982097685,12
S1B_IW_SLC__1SDV_20210103T101837_20210103T101914_024988_02F95E_FCB0,S1B_IW_SLC__1SDV_20210103T101837_20210103T101914_024988_02F95E_FCB0-SLC,S1B_IW_SLC__1SDV_20210115T101837_20210115T101914_025163_02FEFF_7B40,S1B_IW_SLC__1SDV_20210115T101837_20210115T101914_025163_02FEFF_7B40-SLC,12,112,29.852217013976222,12
S1A_IW_SLC__1SDV_20210109T101905_20210109T101923_036059_0439E1_559A,S1A_IW_SLC__1SDV_20210109T101905_20210109T101923_036059_0439E1_559A-SLC,S1B_IW_SLC__1SDV_20210127T101811_20210127T101838_025338_030493_3AEE,S1B_IW_SLC__1SDV_20210127T101811_20210127T101838_025338_030493_3AEE-SLC,17,112,41373.985489102626,17
S1B_IW_SLC__1SDV_20210115T101812_20210115T101839_025163_02FEFF_BBC1,S1B_IW_SLC__1SDV_20210115T101812_20210115T101839_025163_02FEFF_BBC1-SLC,S1B_IW_SLC__1SDV_20210127T101836_20210127T101913_025338_030493_90D5,S1B_IW_SLC__1SDV_20210127T101836_20210127T101913_025338_030493_90D5-SLC,12,112,227894.01049850252,12
S1B_IW_SLC__1SDV_20210104T214209_20210104T214237_025010_02FA0B_D2B5,S1B_IW_SLC__1SDV_20210104T214209_20210104T214237_025010_02FA0B_D2B5-SLC,S1B_IW_SLC__1SDV_20210116T214234_20210116T214301_025185_02FFAA_403B,S1B_IW_SLC__1SDV_20210116T214234_20210116T214301_025185_02FFAA_403B-SLC,12,134,186366.4809482098,12
S1B_IW_SLC__1SDV_20210104T214235_20210104T214302_025010_02FA0B_02B6,S1B_IW_SLC__1SDV_20210104T214235_20210104T214302_025010_02FA0B_02B6-SLC,S1B_IW_SLC__1SDV_20210116T214259_20210116T214326_025185_02FFAA_8599,S1B_IW_SLC__1SDV_20210116T214259_20210116T214326_025185_02FFAA_8599-SLC,12,134,193525.81275928495,12
S1B_IW_SLC__1SDV_20210104T214300_20210104T214326_025010_02FA0B_649E,S1B_IW_SLC__1SDV_20210104T214300_20210104T214326_025010_02FA0B_649E-SLC,S1B_IW_SLC__1SDV_20210116T214324_20210116T214351_025185_02FFAA_6561,S1B_IW_SLC__1SDV_20210116T214324_20210116T214351_025185_02FFAA_6561-SLC,12,134,186350.19509404464,12
S1B_IW_SLC__1SDV_20210104T214324_20210104T214351_025010_02FA0B_A296,S1B_IW_SLC__1SDV_20210104T214324_20210104T214351_025010_02FA0B_A296-SLC,S1B_IW_SLC__1SDV_20210116T214324_20210116T214351_025185_02FFAA_6561,S1B_IW_SLC__1SDV_20210116T214324_20210116T214351_025185_02FFAA_6561-SLC,12,134,61.014280319893096,12
S1A_IW_SLC__1SDV_20210110T214233_20210110T214300_036081_043AAB_A1BB,S1A_IW_SLC__1SDV_20210110T214233_20210110T214300_036081_043AAB_A1BB-SLC,S1A_IW_SLC__1SDV_20210122T214233_20210122T214300_036256_0440C7_E6AF,S1A_IW_SLC__1SDV_20210122T214233_20210122T214300_036256_0440C7_E6AF-SLC,12,134,34430.550453468706,12
S1A_IW_SLC__1SDV_20210110T214258_20210110T214325_036081_043AAB_7572,S1A_IW_SLC__1SDV_20210110T214258_20210110T214325_036081_043AAB_7572-SLC,S1A_IW_SLC__1SDV_20210122T214322_20210122T214349_036256_0440C7_985C,S1A_IW_SLC__1SDV_20210122T214322_20210122T214349_036256_0440C7_985C-SLC,12,134,193476.79748522665,12
S1A_IW_SLC__1SDV_20210110T214323_20210110T214350_036081_043AAB_23E6,S1A_IW_SLC__1SDV_20210110T214323_20210110T214350_036081_043AAB_23E6-SLC,S1A_IW_SLC__1SDV_20210122T214347_20210122T214415_036256_0440C7_5E3B,S1A_IW_SLC__1SDV_20210122T214347_20210122T214415_036256_0440C7_5E3B-SLC,12,134,186355.15414296277,12
S1A_IW_SLC__1SDV_20210110T214348_20210110T214416_036081_043AAB_657D,S1A_IW_SLC__1SDV_20210110T214348_20210110T214416_036081_043AAB_657D-SLC,S1A_IW_SLC__1SDV_20210122T214413_20210122T214440_036256_0440C7_5CFE,S1A_IW_SLC__1SDV_20210122T214413_20210122T214440_036256_0440C7_5CFE-SLC,12,134,193459.95968893523,12
S1A_IW_SLC__1SDV_20210110T214413_20210110T214440_036081_043AAB_7A31,S1A_IW_SLC__1SDV_20210110T214413_20210110T214440_036081_043AAB_7A31-SLC,S1A_IW_SLC__1SDV_20210122T214413_20210122T214440_036256_0440C7_5CFE,S1A_IW_SLC__1SDV_20210122T214413_20210122T214440_036256_0440C7_5CFE-SLC,12,134,34426.554012886154,12
S1B_IW_SLC__1SDV_20210116T214208_20210116T214236_025185_02FFAA_ED31,S1B_IW_SLC__1SDV_20210116T214208_20210116T214236_025185_02FFAA_ED31-SLC,S1B_IW_SLC__1SDV_20210128T214208_20210128T214236_025360_03053B_D418,S1B_IW_SLC__1SDV_20210128T214208_20210128T214236_025360_03053B_D418-SLC,12,134,15.935451139426977,12
S1B_IW_SLC__1SDV_20210116T214234_20210116T214301_025185_02FFAA_403B,S1B_IW_SLC__1SDV_20210116T214234_20210116T214301_025185_02FFAA_403B-SLC,S1B_IW_SLC__1SDV_20210128T214234_20210128T214301_025360_03053B_EF28,S1B_IW_SLC__1SDV_20210128T214234_20210128T214301_025360_03053B_EF28-SLC,12,134,16.511464686595943,12
S1B_IW_SLC__1SDV_20210116T214259_20210116T214326_025185_02FFAA_8599,S1B_IW_SLC__1SDV_20210116T214259_20210116T214326_025185_02FFAA_8599-SLC,S1B_IW_SLC__1SDV_20210128T214259_20210128T214326_025360_03053B_31D3,S1B_IW_SLC__1SDV_20210128T214259_20210128T214326_025360_03053B_31D3-SLC,12,134,10.230127908338957,12
S1B_IW_SLC__1SDV_20210116T214324_20210116T214351_025185_02FFAA_6561,S1B_IW_SLC__1SDV_20210116T214324_20210116T214351_025185_02FFAA_6561-SLC,S1B_IW_SLC__1SDV_20210128T214324_20210128T214350_025360_03053B_900C,S1B_IW_SLC__1SDV_20210128T214324_20210128T214350_025360_03053B_900C-SLC,12,134,12.79645866990606,12
